from;to;distance
2329;1818;159.82
2329;1820;423.40
2329;1826;218.21
2329;2274;350.43
2329;1834;327.27
2329;2599;88.69
2329;2301;252.27
2329;2310;420.08
2329;2311;337.74
2329;3052;307.60
2329;2316;356.62
2329;1881;304.53
2329;1904;151.08
2329;2329;0.00
2329;3513;214.15
2329;1887;187.54
2329;1889;119.01
2329;1907;392.58
2329;1908;130.44
2329;2351;450.04
2329;2356;219.98
2329;2358;243.20
2329;1940;299.20
2329;1923;298.26
2329;2368;138.91
2329;2369;430.59
3513;2217;162.71
3513;2228;79.05
3513;1777;122.90
3513;1781;496.04
3513;1807;344.83
3513;2244;386.54
3513;1836;286.34
3513;1791;545.17
3513;2263;371.27
3513;2204;468.43
3513;2267;306.13
3513;1808;547.27
3513;1816;470.45
3513;1818;358.43
3513;1820;472.56
3513;1826;336.93
3513;2274;150.06
3513;1834;116.35
3513;2599;129.81
3513;2301;286.63
3513;2310;463.25
3513;2311;509.20
3513;3052;344.36
3513;2316;187.82
3513;1881;242.62
3513;1904;76.76
3513;2329;214.15
3513;3513;0.00
3513;1887;220.98
3513;1889;329.89
3513;1907;290.88
3513;1908;323.04
3513;2351;394.33
3513;2356;219.64
3513;2358;304.68
3513;1940;389.91
3513;1923;249.36
3513;2368;227.79
3513;2369;565.90
1887;2217;320.33
1887;2228;298.15
1887;1777;115.87
1887;1781;299.92
1887;1807;185.43
1887;2244;231.95
1887;1836;112.25
1887;1791;324.29
1887;2263;189.41
1887;2204;302.24
1887;2267;317.42
1887;1808;328.08
1887;1816;254.48
1887;1818;224.54
1887;1820;261.39
1887;1826;403.81
1887;2274;281.46
1887;1834;285.98
1887;2599;150.90
1887;2301;73.14
1887;2310;254.39
1887;2311;315.83
1887;3052;133.71
1887;2316;247.10
1887;1881;130.79
1887;1904;153.02
1887;2329;187.54
1887;3513;220.98
1887;1887;0.00
1887;1889;233.83
1887;1907;225.05
1887;1908;191.63
1887;2351;263.81
1887;2356;38.03
1887;2358;415.99
1887;1940;169.11
1887;1923;119.68
1887;2368;57.26
1887;2369;349.58
1889;2217;484.16
1889;2228;400.01
1889;1777;222.63
1889;1781;237.66
1889;1807;95.68
1889;2244;449.78
1889;1836;337.44
1889;1791;382.22
1889;2263;394.96
1889;2204;505.27
1889;2267;149.94
1889;1808;423.75
1889;1816;384.26
1889;1818;57.29
1889;1820;406.60
1889;1826;256.34
1889;2274;457.44
1889;1834;439.51
1889;2599;200.47
1889;2301;274.96
1889;2310;407.34
1889;2311;241.91
1889;3052;315.62
1889;2316;451.76
1889;1881;364.41
1889;1904;260.58
1889;2329;119.01
1889;3513;329.89
1889;1887;233.83
1889;1889;0.00
1889;1907;458.34
1889;1908;55.76
1889;2351;488.93
1889;2356;271.78
1889;2358;310.37
1889;1940;272.88
1889;1923;353.47
1889;2368;176.71
1889;2369;355.43
1907;2217;259.28
